epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7553,1.48263,6.45696,1.51891,0.00148,0.66667,0.01258,0.00696,1.31718,6.96638,1.35757,8e-05,8e-05,8e-05
2,21.755,1.30904,5.39722,1.47605,0.00185,0.83333,0.06992,0.04398,1.20099,7.12917,1.12143,0.000178218,0.000178218,0.000178218
3,31.538,1.44311,5.14752,1.51848,0.00185,0.83333,0.12921,0.07004,1.16297,7.26089,1.14412,0.000274456,0.000274456,0.000274456
4,41.3858,1.27299,4.69908,1.3269,0.00185,0.83333,0.08312,0.05131,1.13071,6.85013,1.1174,0.000368714,0.000368714,0.000368714
5,50.3051,1.2954,5.13209,1.38388,0.00167,0.75,0.05527,0.03621,1.19235,7.29609,1.38686,0.000460992,0.000460992,0.000460992
6,59.4196,1.28609,5.14812,1.2112,0.00148,0.66667,0.01782,0.00788,1.62021,8.8138,2.00765,0.00055129,0.00055129,0.00055129
7,67.7955,1.20964,4.3361,1.22272,0.00111,0.5,0.02739,0.01503,1.87729,8.63808,2.08972,0.000639608,0.000639608,0.000639608
8,77.0401,1.26532,3.85994,1.26102,0.0013,0.58333,0.03644,0.01243,2.26245,9.69777,2.31135,0.000725946,0.000725946,0.000725946
9,86.068,1.15276,4.16973,1.20004,0.00093,0.41667,0.18076,0.08566,2.45007,10.2493,2.76627,0.000810304,0.000810304,0.000810304
10,95.3294,1.25685,4.42575,1.30422,0.08379,0.16667,0.12697,0.06544,2.16177,9.37791,2.18695,0.000892682,0.000892682,0.000892682
11,105.093,1.27434,4.20507,1.27634,0.22233,0.16667,0.15092,0.08844,2.10598,8.63562,1.94857,0.00097308,0.00097308,0.00097308
12,114.833,1.3377,3.91953,1.33608,0.37774,0.41667,0.21864,0.09878,1.60624,7.59292,1.57035,0.0010515,0.0010515,0.0010515
13,124.073,1.28055,3.73871,1.25929,0.46786,0.16667,0.28023,0.13216,1.85979,7.46486,1.73847,0.00112794,0.00112794,0.00112794
14,133.65,1.14003,3.18003,1.17178,0.17728,0.33333,0.21221,0.08821,1.95107,8.03765,1.86526,0.00120239,0.00120239,0.00120239
15,145.261,1.24424,3.64574,1.24955,0.61378,0.08333,0.11448,0.06257,2.04612,8.09182,1.89059,0.00127487,0.00127487,0.00127487
16,158.27,1.3717,3.27555,1.46111,0.23527,0.16667,0.16046,0.07808,2.16629,7.49846,1.87097,0.00134537,0.00134537,0.00134537
17,170.651,1.28075,3.56363,1.26841,0.49909,0.08333,0.11537,0.05745,2.31122,7.71483,2.15828,0.00141389,0.00141389,0.00141389
18,183.349,1.29204,3.47211,1.31723,0.00229,0.66667,0.10719,0.04268,2.16813,8.17383,2.02266,0.00148043,0.00148043,0.00148043
19,196.079,1.27636,3.32241,1.38642,0.77285,0.08333,0.11409,0.0496,2.18627,8.35809,1.94909,0.00154498,0.00154498,0.00154498
20,206.648,1.40235,3.30432,1.43284,0.1119,0.08333,0.05847,0.02855,2.35491,8.77964,2.28857,0.00160756,0.00160756,0.00160756
21,218.401,1.50368,3.94224,1.43187,0.01554,0.08333,0.00838,0.00278,2.68868,11.5085,2.54382,0.001604,0.001604,0.001604
22,230.62,1.46135,4.11559,1.29307,0.96328,0.25,0.24692,0.11521,2.58909,8.8282,2.36034,0.0015842,0.0015842,0.0015842
23,242.263,1.27285,3.3643,1.33579,0.4497,0.25,0.16807,0.10195,2.48292,9.11769,2.35596,0.0015644,0.0015644,0.0015644
24,254.526,1.39011,2.97979,1.415,0.38011,0.25,0.18367,0.09424,2.22667,6.09009,2.12441,0.0015446,0.0015446,0.0015446
25,267.546,1.22276,2.75006,1.26607,0.51783,0.25,0.2028,0.06587,2.45566,6.14729,2.42128,0.0015248,0.0015248,0.0015248
26,279.846,1.20169,2.80065,1.30698,0.48923,0.16667,0.13187,0.03733,2.53185,5.8399,2.60677,0.001505,0.001505,0.001505
27,292.115,1.28692,2.64801,1.36818,0.55556,0.33333,0.24475,0.10447,1.94675,5.58922,2.0344,0.0014852,0.0014852,0.0014852
28,305.558,1.25618,3.13145,1.35449,0.96241,0.25,0.29873,0.19612,1.67479,5.09851,1.60306,0.0014654,0.0014654,0.0014654
29,318.002,1.34415,2.65956,1.30285,0.94022,0.16667,0.24946,0.1855,1.5164,4.55137,1.43502,0.0014456,0.0014456,0.0014456
30,330.726,1.25002,2.17971,1.21383,0.96162,0.41667,0.47725,0.29342,1.46075,5.06346,1.55343,0.0014258,0.0014258,0.0014258
31,343.368,1.17673,2.18867,1.17273,0.743,0.48366,0.45076,0.24685,1.68686,5.35489,1.84294,0.001406,0.001406,0.001406
32,355.633,1.2324,2.29581,1.26097,0.4528,0.414,0.38079,0.21474,1.67727,5.87221,1.7783,0.0013862,0.0013862,0.0013862
33,369.687,1.22564,2.43557,1.15908,0.54525,0.25,0.2973,0.15242,1.62615,6.49189,1.60406,0.0013664,0.0013664,0.0013664
