epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5087,2.16127,3.80934,1.72204,0.33135,0.09037,0.03911,0.02064,3.18336,4.05741,1.91011,4e-05,4e-05,4e-05
2,35.1723,2.36822,3.50954,1.76406,0.31216,0.09091,0.04474,0.02562,3.06855,3.90571,1.8611,9.67e-05,9.67e-05,9.67e-05
3,46.6801,1.98372,2.82063,1.65699,0.41461,0.09091,0.05333,0.03912,2.79384,4.14316,1.8455,0.00014944,0.00014944,0.00014944
4,56.3569,2.0507,2.60367,1.66179,0.36775,0.09091,0.09951,0.07766,2.52778,8.02444,1.79578,0.00019822,0.00019822,0.00019822
5,66.8175,1.89537,2.48503,1.56124,0.14612,0.09091,0.1049,0.07758,2.3505,16.0808,1.69548,0.00024304,0.00024304,0.00024304
6,76.5527,1.75954,2.24489,1.53162,0.11202,0.09091,0.10589,0.07764,2.3837,18.1422,1.72127,0.0002839,0.0002839,0.0002839
7,83.9075,1.66644,2.27976,1.38012,0.10828,0.18182,0.10916,0.07782,2.31804,14.6852,1.66231,0.0003208,0.0003208,0.0003208
8,95.1864,1.68732,2.31616,1.38376,0.46592,0.09091,0.11009,0.07807,2.35992,11.6184,1.71351,0.00035374,0.00035374,0.00035374
9,108.546,1.5472,1.8727,1.37329,0.16715,0.18182,0.11897,0.07907,2.36524,8.30715,1.70868,0.00038272,0.00038272,0.00038272
10,117.988,1.70653,2.31897,1.5533,0.72001,0.09091,0.09572,0.07653,2.40373,7.00138,1.73617,0.00040774,0.00040774,0.00040774
11,126.845,1.52453,1.75301,1.33957,0.59022,0.09091,0.09598,0.06718,2.4257,5.28034,1.73512,0.0004288,0.0004288,0.0004288
12,139.148,1.4675,1.84568,1.26362,0.59527,0.09091,0.09597,0.06698,2.51422,4.8306,1.7587,0.0004459,0.0004459,0.0004459
13,148.515,1.73543,1.93712,1.35785,0.61793,0.18182,0.15636,0.07317,2.42216,3.9424,1.66095,0.00045904,0.00045904,0.00045904
14,158.105,1.33782,1.54377,1.17804,0.62419,0.18182,0.15624,0.07895,2.39486,3.6826,1.62252,0.00046822,0.00046822,0.00046822
15,166.578,1.74662,1.82926,1.46677,0.64081,0.18182,0.15559,0.07878,2.31295,3.58451,1.58764,0.00047344,0.00047344,0.00047344
16,178.816,1.79308,1.87561,1.40431,0.63713,0.18182,0.15559,0.08481,2.38104,3.63835,1.61257,0.0004747,0.0004747,0.0004747
17,190.377,1.42887,1.56232,1.25528,0.42562,0.09091,0.09524,0.06667,2.43687,3.85773,1.6374,0.000472,0.000472,0.000472
18,203.129,1.51515,1.60216,1.14501,0.37032,0.09091,0.05349,0.03152,2.44693,4.0666,1.63248,0.00046534,0.00046534,0.00046534
19,212.772,1.49008,1.78859,1.34578,0.2797,0.09091,0.05185,0.03049,2.57845,4.23742,1.68985,0.00045472,0.00045472,0.00045472
20,224.132,1.25766,1.28669,1.15651,0.15464,0.09091,0.02201,0.01264,2.65131,4.27731,1.73101,0.00044014,0.00044014,0.00044014
21,233.228,1.54512,1.85872,1.24069,0.07772,0.18182,0.02436,0.00998,2.72227,4.33905,1.75825,0.0004216,0.0004216,0.0004216
22,242.235,1.3266,1.57983,1.14661,0.10268,0.09091,0.0137,0.00656,2.71469,4.23616,1.75557,0.0003991,0.0003991,0.0003991
23,251.594,1.31446,1.46643,1.11866,0.13748,0.09091,0.02002,0.00909,2.71713,4.1329,1.752,0.00037264,0.00037264,0.00037264
24,261.171,1.32194,1.4247,1.12226,0.15668,0.09091,0.0209,0.0095,2.68656,3.96875,1.71907,0.00034222,0.00034222,0.00034222
25,270.775,1.25321,1.56216,1.10762,0.16997,0.18182,0.04406,0.01657,2.59505,3.86676,1.70809,0.00030784,0.00030784,0.00030784
26,280.364,1.35968,1.59347,1.1055,0.15753,0.09091,0.02215,0.01036,2.54302,3.92871,1.72831,0.0002695,0.0002695,0.0002695
27,290.65,1.23695,1.35473,1.11613,0.12951,0.18182,0.05055,0.01907,2.53285,3.87102,1.74136,0.0002272,0.0002272,0.0002272
28,301.746,1.2165,1.35457,1.11388,0.17949,0.09091,0.02694,0.01291,2.54795,3.79982,1.7632,0.00018094,0.00018094,0.00018094
29,308.694,1.21555,1.37338,1.05776,0.12493,0.18182,0.04216,0.01899,2.54795,3.79982,1.7632,0.00013072,0.00013072,0.00013072
30,317.113,1.31799,1.27703,1.16113,0.18585,0.09091,0.03104,0.0153,2.53887,3.72,1.75739,7.654e-05,7.654e-05,7.654e-05
