epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.951,2.79165,4.11395,2.00559,0.87032,0.04348,0.04905,0.03755,2.42237,4.14555,1.54443,0.0001,0.0001,0.0001
2,44.7762,2.52846,3.84274,1.75993,0.30828,0.04348,0.0297,0.01812,2.34809,3.94029,1.4588,0.000217822,0.000217822,0.000217822
3,57.2415,2.4295,3.54337,1.66163,0.45737,0.04348,0.04678,0.02768,2.26926,4.33555,1.40437,0.000333268,0.000333268,0.000333268
4,70.5505,2.16664,3.40192,1.49483,0.83335,0.04348,0.04862,0.02826,2.07475,4.41976,1.36789,0.000446338,0.000446338,0.000446338
5,81.2802,2.254,3.15858,1.44667,0.59658,0.04348,0.05188,0.03318,2.2771,4.65612,1.44644,0.000557032,0.000557032,0.000557032
6,94.7057,2.05838,3.02975,1.47004,0.23656,0.04348,0.01969,0.00733,2.43142,4.0025,1.58366,0.00066535,0.00066535,0.00066535
7,106.135,1.87576,2.8806,1.4175,0.15082,0.13043,0.05832,0.0189,2.46807,3.34098,1.61379,0.000771292,0.000771292,0.000771292
8,117.676,2.07495,2.66584,1.6199,0.3811,0.04348,0.02834,0.0199,2.50846,3.51103,1.70177,0.000874858,0.000874858,0.000874858
9,129.38,1.97081,2.50265,1.46036,0.09314,0.08696,0.05275,0.02435,2.44042,4.17258,1.61423,0.000976048,0.000976048,0.000976048
10,139.98,2.11562,2.75732,1.45526,0.04012,0.08696,0.01191,0.00281,2.61232,5.923,1.72372,0.00107486,0.00107486,0.00107486
11,151.952,2.12741,2.7061,1.46524,0.13974,0.04348,0.01796,0.00347,2.44316,4.5996,1.72151,0.0011713,0.0011713,0.0011713
12,164.183,1.9591,2.58655,1.45481,0.15461,0.08696,0.02932,0.01852,2.3731,3.42539,1.59942,0.00126536,0.00126536,0.00126536
13,176.718,2.11119,2.54422,1.52978,0.35702,0.08696,0.04368,0.02544,2.30933,4.15718,1.55103,0.00135705,0.00135705,0.00135705
14,188.041,1.93333,2.5008,1.42485,0.06994,0.17391,0.04266,0.02345,2.27013,5.70584,1.49133,0.00144636,0.00144636,0.00144636
15,199.932,1.93863,2.41985,1.40753,0.09092,0.13043,0.04205,0.02102,2.28866,4.4511,1.40907,0.00153329,0.00153329,0.00153329
16,212.508,1.9974,2.21978,1.42952,0.23032,0.08696,0.07074,0.04098,2.35159,3.34948,1.38745,0.00161785,0.00161785,0.00161785
17,226.243,1.72341,2.13651,1.33835,0.41963,0.08696,0.05532,0.03204,2.58688,3.12175,1.52444,0.0016832,0.0016832,0.0016832
18,238.953,1.83548,2.11501,1.36973,0.70781,0.04348,0.05127,0.04298,2.49138,3.71411,1.65585,0.0016634,0.0016634,0.0016634
19,250.838,1.81377,2.11067,1.33404,0.4273,0.08696,0.047,0.02762,2.38122,4.18077,1.67014,0.0016436,0.0016436,0.0016436
20,264.107,1.64695,2.06527,1.36359,0.28118,0.08696,0.04835,0.01186,2.46797,7.33868,1.8329,0.0016238,0.0016238,0.0016238
21,275.996,1.76688,2.04176,1.36573,0.11732,0.08696,0.01824,0.00577,2.6953,10.0899,1.83844,0.001604,0.001604,0.001604
22,286.472,1.78168,2.15831,1.41106,0.1806,0.08696,0.03885,0.0142,2.6607,4.64511,1.77621,0.0015842,0.0015842,0.0015842
23,300.186,1.70415,1.90889,1.36068,0.41272,0.08696,0.0519,0.03201,2.61951,3.6926,1.79405,0.0015644,0.0015644,0.0015644
24,311.689,1.66676,1.92844,1.33579,0.21524,0.13043,0.05263,0.02468,2.58256,3.84165,1.65984,0.0015446,0.0015446,0.0015446
25,324.213,1.60957,1.87588,1.29272,0.16047,0.13043,0.08256,0.04684,2.70134,4.26387,1.74477,0.0015248,0.0015248,0.0015248
26,337.16,1.72549,1.98204,1.37994,0.20908,0.13043,0.07673,0.04607,2.60864,3.91643,1.75075,0.001505,0.001505,0.001505
27,350.648,1.61776,1.68225,1.2463,0.4339,0.08696,0.07577,0.04901,2.38854,3.45474,1.6187,0.0014852,0.0014852,0.0014852
28,362.876,1.68599,1.73177,1.33278,0.11259,0.08696,0.03374,0.0201,2.6253,3.65041,1.85391,0.0014654,0.0014654,0.0014654
29,375.763,1.6179,1.72544,1.23731,0.05663,0.08696,0.01574,0.00548,2.59474,4.01176,1.75243,0.0014456,0.0014456,0.0014456
30,387.599,1.57644,1.49542,1.28133,0.0117,0.04348,0.00236,0.00137,2.39288,4.83579,1.87413,0.0014258,0.0014258,0.0014258
31,400.652,1.84766,1.91675,1.34428,0.02589,0.08696,0.00388,0.00182,2.33073,4.95754,1.82019,0.001406,0.001406,0.001406
32,412.481,1.60668,1.65055,1.28482,0.11206,0.08696,0.03061,0.01679,2.36283,4.37306,1.74686,0.0013862,0.0013862,0.0013862
33,425.723,1.6013,1.57276,1.23063,0.44224,0.04348,0.03334,0.01739,2.32585,4.40417,1.65973,0.0013664,0.0013664,0.0013664
34,437.786,1.66942,1.65368,1.2824,0.28401,0.04348,0.02447,0.0148,2.30277,3.95008,1.6441,0.0013466,0.0013466,0.0013466
35,451.656,1.5061,1.66518,1.25762,0.06798,0.13043,0.02072,0.01045,2.24192,3.81035,1.6126,0.0013268,0.0013268,0.0013268
36,465.968,1.57316,1.72217,1.23838,0.60339,0.08696,0.0612,0.02345,2.24337,3.41865,1.59191,0.001307,0.001307,0.001307
37,477.798,1.57958,1.71577,1.29051,0.37392,0.08696,0.05093,0.03093,2.23593,3.24912,1.60431,0.0012872,0.0012872,0.0012872
38,491.352,1.47537,1.54166,1.20392,0.13111,0.08696,0.04251,0.02292,2.37589,3.05762,1.57388,0.0012674,0.0012674,0.0012674
39,504.22,1.4185,1.40369,1.13353,0.24331,0.13043,0.09312,0.0361,2.4515,2.98275,1.62884,0.0012476,0.0012476,0.0012476
40,516.618,1.38446,1.39895,1.15443,0.17293,0.17391,0.0776,0.04878,2.2741,2.74395,1.53064,0.0012278,0.0012278,0.0012278
41,530.156,1.51126,1.49824,1.25985,0.44289,0.13043,0.10777,0.06702,2.09196,2.66083,1.42092,0.001208,0.001208,0.001208
42,543.792,1.44715,1.29569,1.17732,0.20078,0.21739,0.10777,0.0679,2.23319,3.02088,1.49556,0.0011882,0.0011882,0.0011882
43,558.857,1.48693,1.48574,1.24001,0.39944,0.08696,0.08736,0.0597,2.27019,3.09215,1.46713,0.0011684,0.0011684,0.0011684
44,570.711,1.38028,1.27686,1.12093,0.42375,0.08696,0.06742,0.04049,2.19392,2.90299,1.48901,0.0011486,0.0011486,0.0011486
45,584.376,1.54981,1.40966,1.25129,0.13709,0.21739,0.073,0.04661,2.24491,3.11816,1.51073,0.0011288,0.0011288,0.0011288
46,595.356,1.38665,1.44828,1.14482,0.40227,0.13043,0.06527,0.03622,2.16318,3.0363,1.45949,0.001109,0.001109,0.001109
47,609.576,1.41585,1.45136,1.19783,0.45847,0.26087,0.1921,0.09178,2.16666,3.24031,1.54577,0.0010892,0.0010892,0.0010892
48,622.031,1.29008,1.27063,1.1505,0.28489,0.13043,0.13221,0.08161,2.1209,3.29136,1.52393,0.0010694,0.0010694,0.0010694
49,634.01,1.39743,1.2375,1.17724,0.46259,0.17391,0.21912,0.10589,2.15423,3.28171,1.52635,0.0010496,0.0010496,0.0010496
50,644.573,1.37218,1.3296,1.12872,0.71374,0.21689,0.26462,0.13981,2.06627,3.02735,1.48042,0.0010298,0.0010298,0.0010298
51,656.048,1.19652,1.17942,1.11553,0.64574,0.21739,0.26222,0.13338,2.03149,2.89581,1.4903,0.00101,0.00101,0.00101
52,665.484,1.45207,1.36524,1.12552,0.58468,0.30435,0.29882,0.15349,2.04021,2.85622,1.46403,0.0009902,0.0009902,0.0009902
53,675.833,1.29572,1.17298,1.06557,0.7097,0.26087,0.30607,0.16406,2.08647,2.85232,1.47902,0.0009704,0.0009704,0.0009704
54,686.399,1.19605,1.09741,1.10183,0.46316,0.41315,0.31538,0.17194,2.05623,2.49877,1.49505,0.0009506,0.0009506,0.0009506
55,697.21,1.26173,1.1293,1.05143,0.4828,0.3913,0.30768,0.1655,2.0753,2.46895,1.51171,0.0009308,0.0009308,0.0009308
56,708.58,1.31164,1.20982,1.09343,0.45503,0.34783,0.27632,0.12617,2.13628,2.57338,1.57645,0.000911,0.000911,0.000911
57,717.897,1.18712,1.17846,1.06165,0.46088,0.30435,0.2346,0.10316,2.21428,2.55093,1.57831,0.0008912,0.0008912,0.0008912
58,727.717,1.3263,1.24417,1.13765,0.61093,0.30435,0.31135,0.14362,2.32802,2.69544,1.76432,0.0008714,0.0008714,0.0008714
59,736.755,1.20594,1.09235,1.05766,0.55486,0.3913,0.30658,0.13251,2.31195,2.81835,1.79634,0.0008516,0.0008516,0.0008516
60,748.902,1.21577,1.11589,1.06836,0.61304,0.34783,0.30736,0.13998,2.35417,2.83543,1.76382,0.0008318,0.0008318,0.0008318
61,758.44,1.19859,1.0787,1.07073,0.50207,0.34783,0.31987,0.1429,2.36294,2.77575,1.68463,0.000812,0.000812,0.000812
62,770.06,1.13262,1.09638,1.09719,0.7048,0.34783,0.33026,0.14229,2.39588,2.56405,1.5952,0.0007922,0.0007922,0.0007922
63,778.546,1.25254,1.11368,1.04907,0.67817,0.34783,0.34103,0.14333,2.40351,2.51466,1.59032,0.0007724,0.0007724,0.0007724
64,788.212,1.24084,1.09778,1.14335,0.62315,0.34783,0.32715,0.15383,2.32998,2.43735,1.56817,0.0007526,0.0007526,0.0007526
65,798.543,1.15824,1.04053,1.06231,0.65792,0.34783,0.32652,0.15456,2.34636,2.52621,1.56109,0.0007328,0.0007328,0.0007328
66,808.237,1.1586,0.9732,1.1097,0.64194,0.3913,0.35012,0.17046,2.28272,2.72781,1.57336,0.000713,0.000713,0.000713
67,816.568,1.14355,0.97901,1.0568,0.81308,0.37912,0.36378,0.18124,2.24851,2.58779,1.55561,0.0006932,0.0006932,0.0006932
68,826.444,1.04682,0.96236,1.03796,0.69485,0.3913,0.36973,0.18147,2.09867,2.40772,1.49122,0.0006734,0.0006734,0.0006734
69,836.21,1.19081,0.97187,1.06892,0.69014,0.3913,0.35241,0.17634,2.03626,2.44914,1.47429,0.0006536,0.0006536,0.0006536
70,846.407,1.02805,0.87043,0.98514,0.64898,0.43478,0.33524,0.16716,2.05402,2.61697,1.46453,0.0006338,0.0006338,0.0006338
71,855.788,1.08425,0.9385,0.98196,0.59316,0.43478,0.33135,0.1561,2.08257,2.61805,1.46385,0.000614,0.000614,0.000614
72,864.872,1.17681,1.03139,1.08642,0.62364,0.43478,0.33177,0.15868,2.09019,2.58554,1.46721,0.0005942,0.0005942,0.0005942
73,873.945,1.14907,0.91756,1.07927,0.61795,0.3913,0.338,0.1711,2.06709,2.59836,1.45149,0.0005744,0.0005744,0.0005744
74,884.188,0.96728,0.84056,0.97098,0.56279,0.34783,0.3277,0.15767,2.089,2.60214,1.47028,0.0005546,0.0005546,0.0005546
75,893.149,1.09109,0.92012,1.0578,0.51526,0.3913,0.3157,0.15554,2.11944,2.59889,1.47963,0.0005348,0.0005348,0.0005348
76,900.923,1.07983,0.89934,1.00124,0.64804,0.34783,0.30899,0.14937,2.09039,2.45835,1.49516,0.000515,0.000515,0.000515
77,909.994,1.03427,0.82701,1.05191,0.7249,0.34405,0.3252,0.16368,2.07706,2.43375,1.49934,0.0004952,0.0004952,0.0004952
78,918.447,1.03272,0.8349,1.03005,0.55944,0.43478,0.33425,0.15878,2.11525,2.42358,1.53096,0.0004754,0.0004754,0.0004754
79,925.686,1.07671,0.87876,0.99662,0.62253,0.3913,0.32257,0.14874,2.10098,2.42001,1.52194,0.0004556,0.0004556,0.0004556
80,933.516,0.97364,0.75002,0.9711,0.63019,0.3913,0.32641,0.15813,2.11057,2.59385,1.51102,0.0004358,0.0004358,0.0004358
