epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4964,1.4788,4.49307,1.52837,0.00185,0.83333,0.16094,0.14126,1.24233,4.66256,1.20968,8e-05,8e-05,8e-05
2,15.4595,1.60235,4.93176,1.59803,0.00185,0.83333,0.23494,0.14705,1.35244,4.65891,1.31089,0.000178218,0.000178218,0.000178218
3,20.3768,1.41212,3.88092,1.43789,0.00185,0.83333,0.08031,0.04579,1.257,4.81117,1.27247,0.000274456,0.000274456,0.000274456
4,25.4223,1.27183,3.70435,1.2545,0.00185,0.83333,0.08689,0.03802,1.10629,4.74249,1.22293,0.000368714,0.000368714,0.000368714
5,30.632,1.49369,3.50251,1.34082,0.00185,0.83333,0.04623,0.02331,1.29257,5.02255,1.38534,0.000460992,0.000460992,0.000460992
6,36.1959,1.3975,3.5518,1.27632,0.00185,0.83333,0.06465,0.01652,1.23782,5.23393,1.41355,0.00055129,0.00055129,0.00055129
7,40.9792,1.3155,3.14052,1.24255,0.00185,0.83333,0.3389,0.19385,1.18098,4.80953,1.29004,0.000639608,0.000639608,0.000639608
8,45.8607,1.25818,2.88274,1.23202,0.00185,0.83333,0.30032,0.18695,1.18832,4.56449,1.25755,0.000725946,0.000725946,0.000725946
9,50.8161,1.41398,2.87704,1.31793,0.00259,0.66667,0.28223,0.18742,1.14558,4.83509,1.27558,0.000810304,0.000810304,0.000810304
10,57.3004,1.42306,3.41563,1.36306,0.00185,0.83333,0.30108,0.20917,1.17979,4.51509,1.26462,0.000892682,0.000892682,0.000892682
11,63.0258,1.49059,2.80263,1.38252,0.00185,0.83333,0.24551,0.19225,1.13864,4.78057,1.36373,0.00097308,0.00097308,0.00097308
12,67.8904,1.39354,3.0816,1.34846,0.02464,0.33333,0.11041,0.09338,1.36647,4.8867,1.48867,0.0010515,0.0010515,0.0010515
13,72.1234,1.38573,3.21018,1.32752,0.00167,0.75,0.07209,0.04874,1.50315,4.96362,1.56703,0.00112794,0.00112794,0.00112794
14,76.9137,1.23497,2.77311,1.19298,0.56039,0.11353,0.15891,0.0891,1.58915,4.83054,1.5936,0.00120239,0.00120239,0.00120239
15,82.2225,1.29051,2.45741,1.26967,0.73737,0.23737,0.19538,0.09115,1.74229,5.04753,1.66775,0.00127487,0.00127487,0.00127487
16,87.9927,1.29352,2.54853,1.2891,0.47625,0.23021,0.1835,0.07579,1.79421,4.99286,1.61774,0.00134537,0.00134537,0.00134537
17,94.0468,1.29256,2.31032,1.21263,0.17007,0.08333,0.04863,0.02219,2.09224,5.50577,1.8128,0.00141389,0.00141389,0.00141389
18,100.171,1.26086,2.1825,1.18111,0.04102,0.08333,0.0144,0.00759,2.10651,5.59721,1.76412,0.00148043,0.00148043,0.00148043
19,106.064,1.41836,2.19928,1.19401,0.02051,0.08333,0.01198,0.00623,1.90649,5.4272,1.6953,0.00154498,0.00154498,0.00154498
20,111.576,1.24175,2.19377,1.20287,0.10073,0.16667,0.04553,0.02605,1.67009,5.21145,1.50128,0.00160756,0.00160756,0.00160756
21,117.798,1.33037,2.31648,1.32012,0.08388,0.25,0.03881,0.02307,1.63225,6.21104,1.43546,0.001604,0.001604,0.001604
22,125.666,1.17087,2.05537,1.15338,0.3439,0.33333,0.22051,0.1008,1.70513,4.57961,1.50073,0.0015842,0.0015842,0.0015842
23,133.46,1.27717,2.07786,1.18672,0.19896,0.16667,0.0827,0.0398,1.86346,4.70456,1.6491,0.0015644,0.0015644,0.0015644
24,141.104,1.30748,2.18457,1.35221,1,0.16099,0.2367,0.14747,1.70602,3.77073,1.69611,0.0015446,0.0015446,0.0015446
25,148.982,1.28785,2.15504,1.2744,0.31724,0.41667,0.28906,0.12716,1.78952,3.71405,1.9074,0.0015248,0.0015248,0.0015248
26,156.204,1.28323,2.23535,1.25637,0.22082,0.5,0.20572,0.09664,1.69234,3.66226,1.73844,0.001505,0.001505,0.001505
27,163.902,1.29659,1.88896,1.2753,0.88837,0.08333,0.10779,0.05834,1.75766,4.2925,1.97786,0.0014852,0.0014852,0.0014852
28,172.073,1.36566,2.08797,1.26712,0.34455,0.41667,0.20105,0.07568,1.79606,4.01808,1.95235,0.0014654,0.0014654,0.0014654
29,180.24,1.24405,1.93774,1.2115,0.70387,0.5,0.46771,0.21117,1.8727,3.6366,2.0123,0.0014456,0.0014456,0.0014456
30,187.369,1.2876,1.81975,1.28581,0.27226,0.31292,0.169,0.06541,1.92215,3.95242,1.96428,0.0014258,0.0014258,0.0014258
31,195.071,1.40047,2.03127,1.35242,0.64272,0.25,0.26466,0.10847,1.83279,4.34413,1.92725,0.001406,0.001406,0.001406
32,203.39,1.24528,1.87476,1.27773,0.4282,0.33333,0.3108,0.19053,1.65279,3.29467,1.77127,0.0013862,0.0013862,0.0013862
33,210.933,1.26153,1.7532,1.2675,0.6419,0.33333,0.37809,0.24734,1.67141,3.07648,1.77159,0.0013664,0.0013664,0.0013664
34,218.551,1.25577,1.7183,1.24444,0.7635,0.41667,0.46895,0.27287,1.5616,2.95255,1.62435,0.0013466,0.0013466,0.0013466
35,225.763,1.20671,1.68088,1.23051,0.64647,0.5,0.44286,0.30635,1.39341,3.12415,1.45141,0.0013268,0.0013268,0.0013268
36,233.506,1.40096,1.98636,1.34978,0.53051,0.25,0.27081,0.21155,1.22671,3.02239,1.26523,0.001307,0.001307,0.001307
37,241.511,1.11971,1.61094,1.15977,0.33767,0.41667,0.28787,0.21366,1.22922,2.74973,1.27154,0.0012872,0.0012872,0.0012872
38,250.293,1.06718,1.4416,1.15254,0.63576,0.33333,0.35524,0.22843,1.31249,2.63586,1.34187,0.0012674,0.0012674,0.0012674
39,259.006,1.12102,1.52493,1.15819,0.95535,0.41667,0.49118,0.27677,1.43878,2.58916,1.55604,0.0012476,0.0012476,0.0012476
