epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,546.485,1.03525,1.57084,1.02575,0.68259,0.75,0.7761,0.49758,1.27456,2.6001,1.24199,0.0011684,0.0011684,0.0011684
44,561.792,1.02946,1.61224,1.10181,0.99597,0.5,0.53727,0.377,1.37342,2.59308,1.31247,0.0011486,0.0011486,0.0011486
45,577.34,1.26323,1.92136,1.22699,1,0.49639,0.53642,0.38471,1.27842,2.58653,1.23534,0.0011288,0.0011288,0.0011288
46,591.227,0.9763,1.64398,1.11452,0.87062,0.56291,0.58161,0.40577,1.25529,2.62658,1.24259,0.001109,0.001109,0.001109
47,607.063,0.94011,1.5498,1.10416,0.80853,0.41667,0.4134,0.29376,1.32491,2.5753,1.29829,0.0010892,0.0010892,0.0010892
48,622.706,1.0823,1.8448,1.14706,0.81439,0.75,0.71653,0.47697,1.39162,2.50531,1.33152,0.0010694,0.0010694,0.0010694
49,637.987,1.11451,1.76994,1.12847,0.86848,0.66667,0.65732,0.48865,1.32156,2.51327,1.29981,0.0010496,0.0010496,0.0010496
50,668.776,1.08548,1.67078,1.16135,1,0.48887,0.49597,0.36599,1.31392,2.67361,1.28552,0.0010298,0.0010298,0.0010298
51,683.681,1.05859,1.57499,1.12085,1,0.6547,0.66554,0.49417,1.20904,2.61272,1.17532,0.00101,0.00101,0.00101
52,700.412,1.14709,1.74292,1.14824,0.98821,0.5,0.49574,0.33131,1.42098,2.35516,1.3404,0.0009902,0.0009902,0.0009902
53,726.559,1.10024,1.54672,1.09398,0.98841,0.5,0.49584,0.33005,1.35881,2.32803,1.21989,0.0009704,0.0009704,0.0009704
54,754.225,1.09596,1.53852,1.06618,0.88615,0.65024,0.65683,0.49533,1.11425,2.29318,1.10856,0.0009506,0.0009506,0.0009506
55,766.875,0.93794,1.49151,1.03563,0.97343,0.5,0.55912,0.3907,1.07097,2.28145,1.09121,0.0009308,0.0009308,0.0009308
56,779.204,1.00912,1.42391,1.1037,1,0.49707,0.49644,0.35227,1.06944,2.18032,1.06936,0.000911,0.000911,0.000911
57,796.289,1.04897,1.40576,1.09403,1,0.57186,0.58602,0.43456,1.13272,2.04205,1.07547,0.0008912,0.0008912,0.0008912
58,808.15,0.91059,1.29398,1.03063,1,0.65413,0.73185,0.51927,1.12854,1.92186,1.09281,0.0008714,0.0008714,0.0008714
59,820.914,0.89546,1.30724,1.01393,0.88357,0.75,0.72988,0.53561,1.03726,1.87594,1.09513,0.0008516,0.0008516,0.0008516
60,833.695,0.9107,1.29699,1.04023,0.81626,0.7412,0.68402,0.46421,1.31838,2.05508,1.31691,0.0008318,0.0008318,0.0008318
61,846.192,0.93929,1.21532,1.02861,0.98602,0.58333,0.58849,0.42899,1.21981,1.98766,1.16321,0.000812,0.000812,0.000812
62,866.617,0.93706,1.13166,1.06445,0.983,0.66667,0.66882,0.49301,1.12087,2.03369,1.0835,0.0007922,0.0007922,0.0007922
63,878.535,0.90507,1.26418,1.0475,0.7893,0.75,0.67897,0.4804,1.12669,2.23675,1.07444,0.0007724,0.0007724,0.0007724
64,891.35,0.93223,1.25665,1.05525,0.58422,0.66667,0.63414,0.43392,1.02213,2.13947,1.00897,0.0007526,0.0007526,0.0007526
65,905.548,0.90014,1.19853,1.07762,1,0.65873,0.69961,0.48446,0.9943,1.95853,0.99864,0.0007328,0.0007328,0.0007328
66,918.529,0.91033,1.18045,1.03681,1,0.4962,0.55852,0.4242,0.99461,1.7741,0.99741,0.000713,0.000713,0.000713
67,932.25,0.93857,1.22564,1.05281,0.8836,0.66667,0.7617,0.54387,1.0282,1.74495,1.00026,0.0006932,0.0006932,0.0006932
68,945.131,0.84286,1.12846,1.05763,0.84993,0.47475,0.4842,0.34971,1.05937,1.72039,1.01096,0.0006734,0.0006734,0.0006734
69,959.809,0.88452,1.16652,1.05239,0.86035,0.75,0.7872,0.55465,1.00498,1.71495,1.00396,0.0006536,0.0006536,0.0006536
70,973.746,0.90748,1.17947,1.08321,0.7829,0.58333,0.61754,0.44157,0.9308,1.67873,0.98892,0.0006338,0.0006338,0.0006338
71,987.709,0.92622,1.2218,1.0673,0.98843,0.5,0.71744,0.50189,0.92809,1.70436,0.98179,0.000614,0.000614,0.000614
72,999.425,0.86747,1.1807,1.02096,0.66309,0.58333,0.69584,0.47355,1.01532,1.93623,1.01527,0.0005942,0.0005942,0.0005942
73,1012.82,0.78594,1.14259,0.92877,0.83148,0.5,0.65664,0.4382,1.03943,2.09256,1.02581,0.0005744,0.0005744,0.0005744
74,1027.34,0.86358,1.15379,0.9995,0.65536,0.66667,0.65413,0.46786,1.00338,2.15727,1.01097,0.0005546,0.0005546,0.0005546
75,1307.66,0.78582,1.10443,0.97765,0.87209,0.56975,0.63744,0.47063,0.98384,2.16981,1.00632,0.0005348,0.0005348,0.0005348
76,1320.89,0.73493,1.05422,1.02895,0.77666,0.58333,0.68636,0.49767,0.9615,1.9115,1.01298,0.000515,0.000515,0.000515
77,1334.18,0.77922,1.07219,0.98773,0.9487,0.58333,0.73548,0.55796,0.98635,1.7288,1.01733,0.0004952,0.0004952,0.0004952
78,1400,0.79144,1.10148,0.94785,0.85911,0.58333,0.69131,0.51804,0.99214,1.57413,1.00931,0.0004754,0.0004754,0.0004754
79,1415.43,0.71188,1.06309,0.99285,0.89822,0.73661,0.81582,0.62342,0.99483,1.48139,1.00547,0.0004556,0.0004556,0.0004556
80,1437.4,0.85014,0.96702,1.01034,0.9783,0.75,0.83633,0.62165,1.00979,1.3889,1.01179,0.0004358,0.0004358,0.0004358
81,1458.7,0.79039,1.0302,0.95271,0.98507,0.75,0.83125,0.62503,1.02062,1.37575,1.01739,0.000416,0.000416,0.000416
82,1474.02,0.68835,0.85291,0.91961,0.98621,0.75,0.83249,0.62365,1.016,1.31302,1.01651,0.0003962,0.0003962,0.0003962
83,1488.84,0.74288,0.99929,1.02323,0.90823,0.82541,0.83931,0.63519,1.01959,1.27873,1.01141,0.0003764,0.0003764,0.0003764
84,1505.44,0.65784,0.88056,0.91292,0.87721,0.75,0.75419,0.56984,0.96567,1.25505,0.97126,0.0003566,0.0003566,0.0003566
85,1522.32,0.81362,0.96229,1.02272,0.81674,0.83333,0.81305,0.62762,0.94432,1.26825,0.96371,0.0003368,0.0003368,0.0003368
86,1537.72,0.69219,0.85461,0.90955,0.80736,0.83333,0.81626,0.6168,0.9385,1.30207,0.96339,0.000317,0.000317,0.000317
87,1554.23,0.6863,0.86314,0.91095,0.81803,0.74928,0.7747,0.58161,0.93396,1.3276,0.96842,0.0002972,0.0002972,0.0002972
