epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6258,2.607,4.10677,2.03093,0.17495,0.125,0.02814,0.01486,2.13283,4.3829,1.40709,6e-05,6e-05,6e-05
2,62.0906,2.3745,3.81244,1.88888,0.19011,0.1875,0.07069,0.03326,2.06424,4.05611,1.35201,0.000138614,0.000138614,0.000138614
3,81.2222,2.15386,3.3131,1.74728,0.31629,0.0625,0.0304,0.01961,2.12481,3.96017,1.39251,0.000215644,0.000215644,0.000215644
4,99.1211,2.15082,3.54154,1.71142,0.16575,0.0625,0.02152,0.01596,2.13548,4.89947,1.41172,0.00029109,0.00029109,0.00029109
5,114.318,2.08678,3.0412,1.6278,0.1688,0.0625,0.01907,0.01297,2.24603,4.78169,1.54481,0.000364952,0.000364952,0.000364952
6,136.363,2.01584,3.08394,1.49963,0.16273,0.0625,0.01905,0.01077,2.15066,4.86739,1.40357,0.00043723,0.00043723,0.00043723
7,159.887,1.77432,2.70135,1.42318,0.23891,0.0625,0.02777,0.01596,2.13765,4.45389,1.36416,0.000507924,0.000507924,0.000507924
8,179.147,1.93638,3.0288,1.37733,0.23701,0.125,0.03761,0.0117,2.19769,4.24192,1.37426,0.000577034,0.000577034,0.000577034
9,201.503,1.96586,3.09426,1.37754,0.21653,0.125,0.04536,0.01904,2.08352,3.88861,1.35151,0.00064456,0.00064456,0.00064456
10,217.514,1.90347,2.71717,1.3777,0.13224,0.0625,0.02201,0.0119,2.1282,3.74995,1.46699,0.000710502,0.000710502,0.000710502
11,232.325,1.68302,2.49364,1.36594,0.10585,0.25,0.04144,0.01683,2.16855,3.65187,1.41706,0.00077486,0.00077486,0.00077486
12,248.061,1.85875,2.41623,1.54787,0.09138,0.1875,0.02745,0.01095,2.37481,3.76285,1.6469,0.000837634,0.000837634,0.000837634
13,266.122,1.78334,2.5595,1.44844,0.20504,0.1875,0.09216,0.04037,2.17581,3.38847,1.50859,0.000898824,0.000898824,0.000898824
14,282.52,1.82107,2.43487,1.49049,0.15263,0.125,0.03671,0.02159,2.17477,3.26313,1.51059,0.00095843,0.00095843,0.00095843
