epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0832,2.66801,4.36694,2.03734,0.32888,0.13043,0.08769,0.04716,2.28852,4.24827,1.49082,0.0001,0.0001,0.0001
2,87.5664,2.46926,3.95038,1.87432,0.3652,0.08696,0.07006,0.04283,2.12702,3.92775,1.37602,0.000217822,0.000217822,0.000217822
3,112.813,2.268,3.50486,1.70139,0.85563,0.04348,0.05316,0.02974,2.17804,5.8186,1.33831,0.000333268,0.000333268,0.000333268
4,143.558,2.12228,3.4337,1.53413,0.06529,0.08696,0.00956,0.00271,2.32309,6.69526,1.49811,0.000446338,0.000446338,0.000446338
5,163.581,2.03362,3.2983,1.44256,0.254,0.04348,0.02734,0.01152,2.20198,5.91063,1.45908,0.000557032,0.000557032,0.000557032
6,189.406,1.91235,3.14741,1.47743,0.14849,0.08696,0.05952,0.03656,2.01702,5.00404,1.34577,0.00066535,0.00066535,0.00066535
7,213.169,1.78331,2.80444,1.40018,0.08327,0.08696,0.05366,0.0171,2.0263,4.79481,1.3232,0.000771292,0.000771292,0.000771292
8,240.848,1.92891,2.64797,1.45285,0.45178,0.13043,0.09517,0.05666,2.13755,3.95002,1.43545,0.000874858,0.000874858,0.000874858
9,280.623,1.86471,2.49571,1.39145,0.17701,0.08696,0.05807,0.03002,2.15243,3.9139,1.48154,0.000976048,0.000976048,0.000976048
10,306.271,1.83076,2.65184,1.38312,0.56711,0.08696,0.06313,0.03744,2.09824,3.84582,1.5206,0.00107486,0.00107486,0.00107486
11,336.174,1.80702,2.50219,1.41573,0.08933,0.08696,0.05677,0.03417,2.28899,4.91313,1.62944,0.0011713,0.0011713,0.0011713
12,371.339,1.7906,2.45736,1.42146,0.24046,0.13043,0.07192,0.03974,2.40241,4.75454,1.75293,0.00126536,0.00126536,0.00126536
13,402.872,1.76248,2.45851,1.39652,0.4121,0.13043,0.1071,0.03831,2.20038,3.86378,1.53151,0.00135705,0.00135705,0.00135705
14,430.168,1.74481,2.4288,1.39828,0.23252,0.17391,0.07002,0.02884,2.05413,3.61793,1.54008,0.00144636,0.00144636,0.00144636
15,458.037,1.74218,2.51585,1.39491,0.29987,0.13043,0.07368,0.02909,2.10482,3.51707,1.5767,0.00153329,0.00153329,0.00153329
16,495.808,1.7787,2.31779,1.37018,0.41844,0.13043,0.08813,0.03532,2.1237,3.64602,1.57514,0.00161785,0.00161785,0.00161785
17,528.891,1.73298,2.15878,1.39081,0.16154,0.08696,0.0268,0.01413,2.18121,3.81307,1.60934,0.0016832,0.0016832,0.0016832
18,551.154,1.59009,2.13845,1.32495,0.1029,0.08696,0.0171,0.00658,2.16967,3.46308,1.5712,0.0016634,0.0016634,0.0016634
19,578.328,1.60882,2.08665,1.30061,0.2689,0.13043,0.08166,0.02949,2.21182,3.08142,1.56401,0.0016436,0.0016436,0.0016436
20,604.654,1.59187,2.17395,1.39288,0.22236,0.13043,0.08021,0.0274,2.13717,3.01872,1.53755,0.0016238,0.0016238,0.0016238
21,637.673,1.5442,2.02743,1.25781,0.1423,0.08696,0.06302,0.0209,2.04756,2.98796,1.48221,0.001604,0.001604,0.001604
22,668.855,1.58486,2.08705,1.31379,0.67678,0.08696,0.11311,0.05564,2.12357,3.12127,1.52967,0.0015842,0.0015842,0.0015842
23,699.985,1.54394,1.95864,1.26241,0.93203,0.08696,0.09106,0.06467,2.04948,3.06404,1.4845,0.0015644,0.0015644,0.0015644
24,723.191,1.56798,1.85241,1.26829,0.96092,0.08696,0.09221,0.05905,2.13189,3.10739,1.54044,0.0015446,0.0015446,0.0015446
25,756.646,1.50132,1.74417,1.28206,0.61741,0.08696,0.08794,0.05702,2.20801,3.28196,1.60326,0.0015248,0.0015248,0.0015248
26,786.158,1.65001,1.77557,1.41069,0.49535,0.04348,0.04985,0.02416,2.4927,3.55702,1.87839,0.001505,0.001505,0.001505
27,810.705,1.46786,1.64341,1.27549,0.86367,0.08696,0.09425,0.06473,2.43943,3.50698,1.84165,0.0014852,0.0014852,0.0014852
28,837.239,1.42076,1.76867,1.23824,1,0.12731,0.14025,0.07851,2.40414,3.1285,1.83066,0.0014654,0.0014654,0.0014654
29,867.321,1.66337,1.79755,1.25186,1,0.13027,0.13795,0.07361,2.23045,3.02496,1.68977,0.0014456,0.0014456,0.0014456
30,897.073,1.45914,1.55669,1.23437,0.40143,0.13043,0.11268,0.05959,2.13052,2.86379,1.58215,0.0014258,0.0014258,0.0014258
31,921.005,1.59424,1.6603,1.24968,0.4474,0.08696,0.0463,0.01878,2.05535,2.9236,1.50711,0.001406,0.001406,0.001406
32,949.991,1.40624,1.45352,1.21488,0.82663,0.04348,0.05747,0.01986,2.07899,3.24825,1.52707,0.0013862,0.0013862,0.0013862
33,980.117,1.32356,1.43092,1.17053,0.91582,0.08696,0.10315,0.06308,2.05898,3.17686,1.51684,0.0013664,0.0013664,0.0013664
34,1011.34,1.43257,1.4937,1.19182,0.36093,0.13043,0.10407,0.05862,2.08166,2.87668,1.53895,0.0013466,0.0013466,0.0013466
35,1042.48,1.29195,1.58922,1.13898,0.37909,0.13043,0.10435,0.05729,2.06087,2.97795,1.5126,0.0013268,0.0013268,0.0013268
36,1075.68,1.34326,1.52708,1.1898,0.28695,0.13043,0.08475,0.05988,2.04928,2.92697,1.5028,0.001307,0.001307,0.001307
37,1103.27,1.3517,1.46177,1.19748,0.92503,0.08696,0.0941,0.06009,2.00142,2.82968,1.47312,0.0012872,0.0012872,0.0012872
38,1135.31,1.19585,1.32612,1.1131,0.92564,0.08696,0.0931,0.06137,1.99353,2.62383,1.48528,0.0012674,0.0012674,0.0012674
39,1166.7,1.25653,1.30189,1.11168,0.94265,0.08696,0.10227,0.07729,1.92407,2.51221,1.44685,0.0012476,0.0012476,0.0012476
40,1203.46,1.20838,1.21984,1.09622,0.22389,0.04348,0.09018,0.06444,2.07422,3.15988,1.54419,0.0012278,0.0012278,0.0012278
41,1238.89,1.25574,1.26543,1.14968,0.93264,0.04348,0.07551,0.05704,2.0749,3.56562,1.51738,0.001208,0.001208,0.001208
42,1264.02,1.24463,1.28446,1.13805,0.28594,0.12258,0.08444,0.05791,2.15106,3.43799,1.52667,0.0011882,0.0011882,0.0011882
43,1287.9,1.23294,1.27069,1.10131,0.44382,0.13043,0.09596,0.05733,2.14569,3.12168,1.49312,0.0011684,0.0011684,0.0011684
44,1313.79,1.14715,1.22853,1.08092,0.39722,0.13043,0.09654,0.05087,2.08766,2.90717,1.43285,0.0011486,0.0011486,0.0011486
45,1347.53,1.27796,1.23853,1.10952,0.3425,0.13043,0.09673,0.0589,2.09899,2.88376,1.47397,0.0011288,0.0011288,0.0011288
46,1378.05,1.12628,1.18698,1.04871,0.57552,0.11979,0.09573,0.03704,2.28987,2.98349,1.6044,0.001109,0.001109,0.001109
47,1409.74,1.2248,1.24078,1.10453,0.51618,0.21739,0.18123,0.09465,2.28538,2.88389,1.60383,0.0010892,0.0010892,0.0010892
48,1436.99,1.22483,1.18725,1.13381,0.39374,0.13043,0.14821,0.08018,2.20788,3.10514,1.62064,0.0010694,0.0010694,0.0010694
49,1467.32,1.14622,1.12827,1.07877,0.0923,0.13043,0.07483,0.0416,2.1772,3.19602,1.60273,0.0010496,0.0010496,0.0010496
50,1498.97,1.1621,1.08468,1.06305,0.30748,0.08696,0.07141,0.04779,2.08895,3.04805,1.55119,0.0010298,0.0010298,0.0010298
51,1527.69,1.15911,1.10461,1.08311,0.2275,0.13043,0.08561,0.05613,2.03664,2.73955,1.50472,0.00101,0.00101,0.00101
52,1562.3,1.22696,1.18659,1.09914,0.38673,0.17391,0.14809,0.08075,1.92469,2.48213,1.40519,0.0009902,0.0009902,0.0009902
53,1595.8,1.08163,0.99506,1.03225,0.57837,0.12103,0.10565,0.07072,1.89235,2.5473,1.37351,0.0009704,0.0009704,0.0009704
54,1622.69,1.04075,0.95595,1.04377,0.74473,0.13043,0.12253,0.06016,1.82918,2.7523,1.32739,0.0009506,0.0009506,0.0009506
55,1660.78,1.10948,0.97184,1.02006,0.51989,0.17391,0.14475,0.08785,1.78446,2.75678,1.30225,0.0009308,0.0009308,0.0009308
56,1716.83,1.12226,1.02724,1.06147,0.47977,0.13043,0.13011,0.08844,1.78145,2.849,1.30218,0.000911,0.000911,0.000911
57,1744.76,1.06745,0.90854,1.04814,0.45399,0.17391,0.15124,0.09438,1.77172,2.89516,1.31296,0.0008912,0.0008912,0.0008912
58,1778.29,1.10247,0.92556,1.05651,0.64234,0.08696,0.09835,0.06372,1.84194,3.1457,1.36533,0.0008714,0.0008714,0.0008714
59,1805.73,1.00636,0.95867,0.97504,0.63867,0.08696,0.09087,0.05507,1.93541,3.31068,1.42866,0.0008516,0.0008516,0.0008516
60,1838.67,1.13074,0.94494,1.04719,0.63889,0.08696,0.13231,0.07249,1.90553,3.26647,1.39868,0.0008318,0.0008318,0.0008318
61,1867.36,1.03921,0.9224,1.00897,0.87405,0.30435,0.35944,0.19218,1.91579,3.25276,1.38089,0.000812,0.000812,0.000812
62,1897.85,0.96351,0.96484,1.02396,0.84477,0.26087,0.31137,0.16045,1.9602,3.03281,1.38751,0.0007922,0.0007922,0.0007922
63,1933.05,1.11026,0.95562,1.06797,0.84304,0.30435,0.35087,0.17012,2.03269,3.02898,1.41316,0.0007724,0.0007724,0.0007724
64,1976.39,1.04497,0.90874,1.04824,0.52459,0.26087,0.23977,0.13434,2.12694,3.0593,1.4631,0.0007526,0.0007526,0.0007526
65,2014.11,0.96944,0.9065,1.01986,0.6509,0.34783,0.33524,0.16928,2.14524,3.10069,1.46418,0.0007328,0.0007328,0.0007328
66,2046.07,0.97011,0.86429,1.02295,0.53762,0.34783,0.35703,0.18195,2.05917,3.11517,1.41696,0.000713,0.000713,0.000713
67,2079.13,0.99022,0.96514,1.02484,0.60655,0.4027,0.36695,0.17448,2.12199,3.02059,1.42303,0.0006932,0.0006932,0.0006932
68,2116.17,0.96016,0.82377,0.97498,0.70848,0.34783,0.37894,0.18892,2.04882,2.82125,1.43501,0.0006734,0.0006734,0.0006734
69,2145.36,1.0583,0.92628,1.01604,0.76478,0.34783,0.36367,0.20457,1.99252,2.76326,1.4179,0.0006536,0.0006536,0.0006536
70,2183.75,0.92069,0.77056,0.96473,0.73451,0.3913,0.38357,0.21718,2.02213,2.74682,1.46361,0.0006338,0.0006338,0.0006338
71,2209.92,0.88564,0.79418,0.97982,0.73045,0.3913,0.37302,0.19704,2.08946,2.79589,1.48992,0.000614,0.000614,0.000614
72,2239.79,1.00695,0.83299,1.03272,0.73843,0.34783,0.35876,0.1952,2.04385,2.87482,1.46543,0.0005942,0.0005942,0.0005942
73,2265.37,0.93468,0.78858,0.98283,0.78605,0.34783,0.36758,0.19427,2.08523,2.91938,1.48563,0.0005744,0.0005744,0.0005744
74,2296.29,0.84688,0.78368,0.94301,0.78179,0.17391,0.15424,0.08484,2.09386,2.84033,1.48783,0.0005546,0.0005546,0.0005546
75,2325.82,0.93466,0.82546,0.99603,0.68887,0.43478,0.40152,0.1935,2.1064,2.71236,1.49857,0.0005348,0.0005348,0.0005348
76,2361.74,0.90581,0.75156,0.9591,0.74632,0.43478,0.41287,0.19585,2.12274,2.50721,1.52399,0.000515,0.000515,0.000515
77,2386.15,0.88894,0.75324,0.99825,0.64185,0.47826,0.41124,0.1923,2.12399,2.50266,1.52341,0.0004952,0.0004952,0.0004952
78,2417.01,0.89855,0.77598,0.96138,0.6018,0.43478,0.37265,0.19682,2.04475,2.60902,1.49507,0.0004754,0.0004754,0.0004754
79,2442.6,0.88513,0.74574,0.94628,0.61829,0.43478,0.37896,0.21365,2.02715,2.6463,1.50049,0.0004556,0.0004556,0.0004556
80,2476.21,0.80501,0.74919,0.92477,0.58529,0.36891,0.36939,0.21267,1.99554,2.65925,1.48469,0.0004358,0.0004358,0.0004358
81,2500.68,0.90749,0.78277,0.9946,0.57653,0.34783,0.37404,0.21569,1.99645,2.69399,1.46124,0.000416,0.000416,0.000416
82,2526.64,0.86342,0.75166,0.95314,0.76604,0.30435,0.35999,0.21583,1.9282,2.78782,1.41873,0.0003962,0.0003962,0.0003962
83,2552.71,0.83194,0.71016,0.95477,0.56221,0.3913,0.36122,0.21936,1.90532,2.80233,1.40666,0.0003764,0.0003764,0.0003764
84,2576.15,0.88182,0.74489,0.96042,0.59262,0.3913,0.36057,0.21284,1.91265,2.85101,1.40427,0.0003566,0.0003566,0.0003566
85,2596.37,0.82141,0.72339,0.93447,0.7995,0.34686,0.3803,0.22334,1.93546,2.89335,1.41894,0.0003368,0.0003368,0.0003368
86,2619.91,0.87642,0.75724,0.9509,0.66121,0.3913,0.39065,0.21848,1.97284,2.81251,1.42942,0.000317,0.000317,0.000317
87,2644.6,0.81017,0.75612,0.93197,0.81588,0.3858,0.39907,0.22174,1.95261,2.80093,1.41606,0.0002972,0.0002972,0.0002972
88,2672.74,0.85841,0.73778,0.9465,0.7913,0.3913,0.39951,0.22549,1.94143,2.6957,1.42041,0.0002774,0.0002774,0.0002774
89,2698.63,0.83791,0.72025,0.94411,0.79368,0.3913,0.40479,0.22452,1.94672,2.66971,1.42323,0.0002576,0.0002576,0.0002576
90,2721.47,0.7995,0.72254,0.94339,0.8156,0.38514,0.42241,0.23126,1.99597,2.6798,1.44989,0.0002378,0.0002378,0.0002378
91,2749.56,0.83631,0.732,0.91269,0.72392,0.3913,0.41908,0.23082,2.01863,2.69471,1.46837,0.000218,0.000218,0.000218
92,2772.48,0.70764,0.64654,0.90435,0.64576,0.39661,0.42206,0.22844,2.03159,2.7717,1.46833,0.0001982,0.0001982,0.0001982
93,2802.37,0.71678,0.62025,0.90548,0.67177,0.3913,0.43478,0.23823,2.02908,2.80991,1.46939,0.0001784,0.0001784,0.0001784
94,2823.82,0.68222,0.5846,0.88739,0.74076,0.37363,0.44936,0.24031,1.98607,2.84487,1.42434,0.0001586,0.0001586,0.0001586
95,2851.23,0.72988,0.61924,0.9208,0.75775,0.40882,0.45245,0.24199,1.98078,2.86278,1.41631,0.0001388,0.0001388,0.0001388
96,2885.1,0.71389,0.59264,0.90953,0.72681,0.43478,0.4446,0.24311,1.95517,2.88655,1.4155,0.000119,0.000119,0.000119
97,2905.52,0.63137,0.56847,0.87525,0.71905,0.43478,0.44834,0.2436,1.95377,2.88948,1.41314,9.92e-05,9.92e-05,9.92e-05
98,2935.73,0.73278,0.64723,0.89459,0.72425,0.45753,0.44498,0.24313,1.97814,2.90111,1.42008,7.94e-05,7.94e-05,7.94e-05
99,2967.41,0.71303,0.60998,0.87174,0.73188,0.47826,0.44512,0.24388,1.9773,2.85506,1.41813,5.96e-05,5.96e-05,5.96e-05
100,2994.07,0.67173,0.56646,0.86383,0.73151,0.47826,0.45098,0.24468,1.97076,2.78148,1.41514,3.98e-05,3.98e-05,3.98e-05
