epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.504,2.48652,3.6771,1.94359,0.00104,0.25,0.00602,0.00437,2.60309,4.50819,1.63732,6e-05,6e-05,6e-05
2,29.3728,2.37057,3.8294,1.87608,0.00145,0.375,0.0121,0.00474,2.36462,4.21132,1.49625,0.000138614,0.000138614,0.000138614
3,38.4579,2.17954,3.29036,1.70217,0.0751,0.125,0.0244,0.01003,2.25211,3.84668,1.4585,0.000215644,0.000215644,0.000215644
4,48.4536,2.20539,3.44534,1.73823,0.07121,0.0625,0.01635,0.00892,2.3407,3.68273,1.52924,0.00029109,0.00029109,0.00029109
5,56.7921,2.09021,2.74774,1.69032,0.02767,0.0625,0.00631,0.00314,2.28452,3.74274,1.52929,0.000364952,0.000364952,0.000364952
6,66.2997,2.10786,2.86835,1.56325,0.10243,0.0625,0.01012,0.00556,2.28391,4.12916,1.54921,0.00043723,0.00043723,0.00043723
7,74.4093,1.83609,2.47407,1.42574,0.158,0.0625,0.01623,0.00744,2.34842,4.84123,1.64875,0.000507924,0.000507924,0.000507924
8,85.1813,2.13457,2.89141,1.45654,0.14332,0.0625,0.0163,0.00643,2.23027,5.36616,1.56553,0.000577034,0.000577034,0.000577034
9,94.3504,2.11825,2.87867,1.48306,0.11455,0.0625,0.01273,0.00493,2.30287,5.50691,1.63168,0.00064456,0.00064456,0.00064456
10,103.197,2.00931,2.72302,1.39877,0.09556,0.0625,0.00982,0.00386,2.2882,4.09488,1.62294,0.000710502,0.000710502,0.000710502
11,111.945,1.91593,2.48623,1.49351,0.00722,0.0625,0.00233,0.0007,2.47754,4.9638,1.81197,0.00077486,0.00077486,0.00077486
12,120.481,1.83652,2.27969,1.55186,0.00067,0.0625,0.00044,0.00026,2.7216,5.24565,2.16863,0.000837634,0.000837634,0.000837634
13,129.494,1.82368,2.52832,1.42604,0.04311,0.0625,0.00449,0.00132,2.62634,4.10154,1.88833,0.000898824,0.000898824,0.000898824
14,139.117,1.72201,2.26237,1.3893,0.07685,0.0625,0.0104,0.00126,2.80425,4.83386,1.89409,0.00095843,0.00095843,0.00095843
15,148.394,1.79532,2.19932,1.37526,0.02679,0.0625,0.00524,0.00109,2.85684,5.56355,1.96524,0.00101645,0.00101645,0.00101645
16,156.859,1.78873,2.399,1.39083,0.02124,0.0625,0.00321,0.0007,2.98348,4.84107,2.05589,0.00107289,0.00107289,0.00107289
17,165.205,2.05476,2.22116,1.43554,0.00095,0.125,0.00394,0.00062,2.99258,4.17484,2.00278,0.00112774,0.00112774,0.00112774
18,174.459,1.95893,2.59834,1.3958,0.15092,0.125,0.02915,0.00468,2.94651,3.56141,1.86316,0.00118101,0.00118101,0.00118101
