epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0653,1.33375,4.3781,1.55116,0.00095,1,0.26848,0.18622,1.10817,6.18667,1.33376,6e-05,6e-05,6e-05
2,16.3148,1.4884,4.5378,1.5589,0.00095,1,0.36049,0.26334,0.84566,5.19889,1.22227,0.000138614,0.000138614,0.000138614
3,20.554,1.36529,4.05551,1.46056,0.00095,1,0.43187,0.31556,0.80845,5.22041,1.25195,0.000215644,0.000215644,0.000215644
4,24.6637,1.12903,3.47859,1.24099,0.00095,1,0.42051,0.32299,0.84566,5.06501,1.23791,0.00029109,0.00029109,0.00029109
5,28.4824,1.13422,2.86992,1.13811,0.00095,1,0.66545,0.50685,0.86718,4.97997,1.19105,0.000364952,0.000364952,0.000364952
6,32.1508,1.14157,3.01204,1.13653,0.00095,1,0.7325,0.60577,0.90512,4.99231,1.34105,0.00043723,0.00043723,0.00043723
7,35.984,1.082,3.03843,1.11147,0.00095,1,0.56194,0.36185,1.38611,5.41551,1.69024,0.000507924,0.000507924,0.000507924
8,39.7755,1.15411,3.26546,1.0948,0.00095,1,0.55928,0.33541,1.51833,5.59476,1.7046,0.000577034,0.000577034,0.000577034
9,43.3508,0.9916,2.50022,1.0556,0.00095,1,0.73111,0.32787,1.14223,6.06352,1.38267,0.00064456,0.00064456,0.00064456
10,46.7652,1.09558,2.32947,1.14297,0.00095,1,0.66333,0.34343,1.19315,5.63108,1.39355,0.000710502,0.000710502,0.000710502
11,50.4037,1.05676,2.3061,1.1266,0.03361,1,0.56229,0.28431,1.12838,6.12755,1.47427,0.00077486,0.00077486,0.00077486
12,53.9934,1.14142,2.12368,1.14069,0.34467,0.75,0.5572,0.4083,1.20951,6.46526,1.3593,0.000837634,0.000837634,0.000837634
13,57.5268,1.1509,2.37217,1.20351,0.00095,1,0.37348,0.22343,1.33078,6.68113,1.47374,0.000898824,0.000898824,0.000898824
14,61.2905,1.01555,2.46402,1.06397,0.00095,1,0.33191,0.20649,1.45209,6.36429,1.53856,0.00095843,0.00095843,0.00095843
15,64.9737,1.20835,2.57338,1.27985,0.00095,1,0.13679,0.07508,1.37146,5.99482,1.44344,0.00101645,0.00101645,0.00101645
16,68.6193,1.14439,2.27864,1.21511,0.00185,1,0.13419,0.09362,1.32519,6.77318,1.45374,0.00107289,0.00107289,0.00107289
17,71.9839,1.26925,2.93355,1.21,0.00095,1,0.13931,0.05833,1.58017,6.58969,1.57568,0.00112774,0.00112774,0.00112774
18,75.4391,1.05156,2.38501,1.11648,0.00095,1,0.02932,0.00902,1.64332,6.16642,2.16667,0.00118101,0.00118101,0.00118101
19,79.2214,1.21352,2.90748,1.22118,0.00095,1,0.00354,0.00171,1.73336,6.35992,2.20352,0.0012327,0.0012327,0.0012327
20,83.02,1.15419,2.23616,1.18585,0.00095,1,0.0018,0.00078,1.74783,6.39138,2.29234,0.0012828,0.0012828,0.0012828
21,87.6791,1.0985,2.23754,1.09459,0.00095,1,0.00124,0.00052,1.71339,6.63905,2.11215,0.00133132,0.00133132,0.00133132
22,92.4654,1.11229,2.11417,1.1947,0.00095,1,0.00106,0.00034,1.76056,6.5885,2.13905,0.00137825,0.00137825,0.00137825
23,97.4446,1.13542,1.98274,1.09862,0.00048,0.5,0.00058,0.00026,1.69681,6.37029,2.13213,0.0014236,0.0014236,0.0014236
24,102.892,1.16226,1.86699,1.17115,0.00071,0.75,0.00079,0.00046,1.75067,8.05807,2.0216,0.00146737,0.00146737,0.00146737
25,108.498,1.19531,2.35403,1.27197,0.00071,0.75,0.00121,0.00023,2.39688,10.7851,2.58198,0.00150955,0.00150955,0.00150955
26,114.087,1.08357,2.23628,1.08981,0.00073,0.75,0.00073,0.00024,2.95273,10.1622,3.47346,0.001505,0.001505,0.001505
27,118.752,1.24634,2.14058,1.20378,0.00048,0.5,0.00048,0.00028,2.97704,8.76216,3.64249,0.0014852,0.0014852,0.0014852
28,123.961,1.10128,1.86204,1.11841,0.00796,0.25,0.00518,0.00325,3.17331,9.78741,3.80249,0.0014654,0.0014654,0.0014654
29,129.24,1.07479,1.90145,1.19958,0.08085,0.25,0.02591,0.0161,2.71423,9.33928,3.27019,0.0014456,0.0014456,0.0014456
30,135.385,1.14235,1.79612,1.15073,0.1175,0.25,0.0572,0.02953,2.35344,7.24654,2.69942,0.0014258,0.0014258,0.0014258
31,141.024,1.24543,1.83408,1.19863,0.0236,0.25,0.02596,0.01619,2.13118,6.85247,2.16711,0.001406,0.001406,0.001406
32,147.428,1.15267,1.72664,1.09565,0.07715,0.5,0.04712,0.0324,1.89363,7.6853,2.06998,0.0013862,0.0013862,0.0013862
