epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.548,1.95821,3.14337,1.41379,0.63627,0.37209,0.40024,0.22122,1.61394,1.98502,1.22759,0.000660256,0.000660256,0.000660256
2,577.288,1.61404,1.89965,1.20834,0.84842,0.72313,0.79384,0.47377,1.38267,1.41379,1.18541,0.00128313,0.00128313,0.00128313
3,827.183,1.54833,1.65408,1.20294,0.88185,0.65891,0.7783,0.48317,1.36966,1.36156,1.19444,0.00186201,0.00186201,0.00186201
4,1071.38,1.47234,1.47258,1.1647,0.88741,0.71318,0.81822,0.5156,1.31779,1.3568,1.19926,0.001802,0.001802,0.001802
5,1308.34,1.42148,1.34513,1.15031,0.89425,0.75969,0.86175,0.51932,1.389,1.15094,1.25944,0.001736,0.001736,0.001736
6,1548.99,1.37251,1.22726,1.14564,0.8601,0.76253,0.84479,0.53393,1.2919,1.25359,1.1896,0.00167,0.00167,0.00167
7,1783.75,1.36335,1.19529,1.11375,0.93003,0.78993,0.90619,0.56883,1.27338,0.927,1.16749,0.001604,0.001604,0.001604
8,2000.3,1.34525,1.15141,1.1091,0.88574,0.80362,0.88464,0.5721,1.26196,1.01821,1.16716,0.001538,0.001538,0.001538
9,2215.76,1.3263,1.05531,1.09523,0.93348,0.83401,0.90068,0.59879,1.22926,1.08788,1.14458,0.001472,0.001472,0.001472
10,2431.55,1.32092,1.03555,1.11568,0.90102,0.84681,0.9021,0.57627,1.27849,0.90183,1.16837,0.001406,0.001406,0.001406
11,2635.84,1.29764,1.00144,1.09494,0.90998,0.83463,0.91171,0.59847,1.21599,0.87906,1.13097,0.00134,0.00134,0.00134
12,2828.92,1.26558,0.96014,1.07216,0.91022,0.86451,0.91955,0.61406,1.19029,0.838,1.11932,0.001274,0.001274,0.001274
13,3037.32,1.24331,0.93889,1.07148,0.91493,0.83463,0.91482,0.61694,1.20666,0.83585,1.12365,0.001208,0.001208,0.001208
14,3244.14,1.23133,0.91088,1.06209,0.92877,0.84496,0.90986,0.60908,1.17777,0.83731,1.11923,0.001142,0.001142,0.001142
15,3451.5,1.22611,0.85912,1.05312,0.95573,0.83685,0.9248,0.62568,1.18751,0.83055,1.11974,0.001076,0.001076,0.001076
16,3658.89,1.20049,0.85038,1.04504,0.9521,0.87316,0.94012,0.62767,1.19429,0.73409,1.11534,0.00101,0.00101,0.00101
17,3865.31,1.20901,0.83063,1.05092,0.93009,0.86822,0.94282,0.62785,1.18797,0.76153,1.12771,0.000944,0.000944,0.000944
18,4063.83,1.16846,0.80546,1.03651,0.93788,0.82687,0.93062,0.63008,1.16118,0.77888,1.09679,0.000878,0.000878,0.000878
19,4254.44,1.15424,0.77546,1.0291,0.95167,0.86503,0.93629,0.62471,1.20132,0.77206,1.12578,0.000812,0.000812,0.000812
20,4471.19,1.1239,0.77018,1.02038,0.9644,0.84755,0.93469,0.64426,1.14441,0.7271,1.0878,0.000746,0.000746,0.000746
21,4664.83,1.13153,0.7343,1.04863,0.95232,0.87742,0.93797,0.65102,1.13679,0.69986,1.09641,0.00068,0.00068,0.00068
22,4853.05,1.09309,0.69252,1.03456,0.9499,0.89406,0.94289,0.60328,1.26101,0.78338,1.1583,0.000614,0.000614,0.000614
23,5033.98,1.08136,0.66762,1.02338,0.9699,0.87597,0.95026,0.65151,1.1365,0.66093,1.09704,0.000548,0.000548,0.000548
24,5225.09,1.05804,0.63986,1.01383,0.97174,0.88841,0.95242,0.6612,1.12514,0.65725,1.0923,0.000482,0.000482,0.000482
25,5399.18,1.06919,0.62498,1.03592,0.94894,0.91244,0.95814,0.65446,1.12823,0.63807,1.0904,0.000416,0.000416,0.000416
26,5585.38,1.01471,0.60049,1.00464,0.95133,0.9092,0.95828,0.67006,1.09737,0.63505,1.06725,0.00035,0.00035,0.00035
27,5774.21,1.03533,0.59384,0.99941,0.95157,0.90439,0.95652,0.66946,1.09809,0.61509,1.07123,0.000284,0.000284,0.000284
28,5951.03,1.00232,0.56758,0.99424,0.98595,0.90635,0.96265,0.67031,1.11813,0.59804,1.07442,0.000218,0.000218,0.000218
29,6122.57,0.98957,0.55484,0.98121,0.97865,0.91473,0.96118,0.66363,1.12876,0.59846,1.07415,0.000152,0.000152,0.000152
30,6303.07,0.97933,0.54794,0.98105,0.97004,0.92041,0.96617,0.67911,1.08748,0.58327,1.05644,8.6e-05,8.6e-05,8.6e-05
