epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5864,1.49576,4.99846,1.49011,0.00185,0.83333,0.04426,0.03618,1.16086,4.91135,1.17993,8e-05,8e-05,8e-05
2,31.159,1.425,4.1794,1.47262,0.00204,0.91667,0.27264,0.21941,1.06022,4.57409,1.06937,0.000178218,0.000178218,0.000178218
3,37.2969,1.49293,3.94636,1.42942,0.00204,0.91667,0.30161,0.21648,0.95874,4.41825,1.00332,0.000274456,0.000274456,0.000274456
4,43.3429,1.26889,3.43228,1.19572,0.00204,0.91667,0.21984,0.17225,0.9515,4.3776,0.97818,0.000368714,0.000368714,0.000368714
5,48.8115,1.29922,3.64587,1.29522,0.00204,0.91667,0.21166,0.13464,1.05571,4.5122,1.03871,0.000460992,0.000460992,0.000460992
6,54.031,1.30887,3.62205,1.21974,0.00185,0.83333,0.32972,0.20615,1.20942,4.59961,1.15512,0.00055129,0.00055129,0.00055129
7,59.3024,1.36573,2.8226,1.15205,0.00148,0.66667,0.16629,0.07032,1.4028,5.3791,1.46269,0.000639608,0.000639608,0.000639608
8,64.1109,1.33173,2.672,1.15321,0.0013,0.58333,0.0861,0.0264,1.77175,5.58754,1.82501,0.000725946,0.000725946,0.000725946
9,68.6708,1.28898,2.85649,1.17013,0.00111,0.5,0.04326,0.00879,1.96835,5.94055,1.97611,0.000810304,0.000810304,0.000810304
10,73.6462,1.42782,3.10356,1.36387,0.0013,0.58333,0.01801,0.00382,2.08393,6.11633,2.05927,0.000892682,0.000892682,0.000892682
11,78.8738,1.50805,2.95365,1.33369,0.00167,0.75,0.044,0.00937,1.64091,5.32001,1.82354,0.00097308,0.00097308,0.00097308
12,84.4075,1.45038,2.83379,1.37005,0.00148,0.66667,0.00137,0.0006,1.88413,5.9409,1.87569,0.0010515,0.0010515,0.0010515
13,89.5346,1.34901,2.58765,1.27644,0.00167,0.75,0.00161,0.00075,1.77679,5.54715,1.75479,0.00112794,0.00112794,0.00112794
14,95.2414,1.23734,2.27449,1.19956,0.00185,0.83333,0.0057,0.0024,1.57889,5.40447,1.58816,0.00120239,0.00120239,0.00120239
15,102.281,1.2368,2.48542,1.20902,0.22808,0.08333,0.03465,0.01942,1.79261,5.11362,1.74935,0.00127487,0.00127487,0.00127487
16,110.107,1.37276,2.32419,1.33407,0.22024,0.16667,0.07114,0.04806,1.84548,5.31918,1.81157,0.00134537,0.00134537,0.00134537
17,116.738,1.29293,2.49212,1.23239,0.01556,0.08333,0.0053,0.00096,1.72791,6.11276,1.75796,0.00141389,0.00141389,0.00141389
18,124.222,1.34694,2.53787,1.30017,0.12672,0.08333,0.01685,0.00409,1.53287,5.18914,1.63877,0.00148043,0.00148043,0.00148043
19,130.506,1.24751,2.29427,1.29631,0.04467,0.08333,0.02154,0.00918,1.55956,4.8205,1.56614,0.00154498,0.00154498,0.00154498
20,137.722,1.27116,2.19117,1.29789,0.47457,0.5,0.31347,0.20371,1.39062,3.93859,1.3641,0.00160756,0.00160756,0.00160756
21,146.323,1.36629,2.77744,1.32478,0.55014,0.25,0.29028,0.20769,1.44277,4.14956,1.42728,0.001604,0.001604,0.001604
22,155.601,1.47869,3.1427,1.31284,0.74326,0.33333,0.41729,0.29789,1.40714,3.64615,1.43475,0.0015842,0.0015842,0.0015842
23,164.55,1.28809,2.4247,1.29041,0.58002,0.46254,0.39609,0.22181,1.53257,3.40422,1.50824,0.0015644,0.0015644,0.0015644
24,171.872,1.29326,2.28759,1.29091,0.47433,0.5,0.45744,0.26955,1.48733,3.3357,1.48674,0.0015446,0.0015446,0.0015446
25,181.859,1.21705,1.8958,1.22136,0.50542,0.5,0.42958,0.25652,1.4604,3.68145,1.45581,0.0015248,0.0015248,0.0015248
26,191.316,1.23475,1.99819,1.26349,0.65107,0.5,0.48797,0.22344,1.62657,3.73155,1.56951,0.001505,0.001505,0.001505
27,199.005,1.15558,2.01347,1.22863,0.73063,0.5,0.51449,0.25558,1.70206,3.74227,1.64097,0.0014852,0.0014852,0.0014852
28,207.254,1.27217,2.15776,1.25521,0.76209,0.5,0.51363,0.276,1.66968,4.01314,1.64366,0.0014654,0.0014654,0.0014654
29,217.388,1.22754,1.93836,1.2196,0.61748,0.41667,0.43105,0.23057,1.63813,3.97178,1.59827,0.0014456,0.0014456,0.0014456
30,225.256,1.29322,1.77655,1.1891,0.69623,0.41667,0.44253,0.24199,1.52397,4.34424,1.45421,0.0014258,0.0014258,0.0014258
31,234.686,1.27297,1.73053,1.17392,1,0.47555,0.59692,0.27606,1.57481,4.18309,1.53675,0.001406,0.001406,0.001406
32,244.566,1.15673,1.73593,1.20426,0.82277,0.41667,0.52112,0.29841,1.36594,4.73709,1.37851,0.0013862,0.0013862,0.0013862
33,252.839,1.18826,1.74373,1.15735,0.47426,0.5,0.45136,0.23638,1.3452,4.44725,1.31323,0.0013664,0.0013664,0.0013664
34,261.106,1.19495,1.60218,1.19438,0.36288,0.41667,0.3281,0.19489,1.39339,4.58741,1.35827,0.0013466,0.0013466,0.0013466
35,270.721,1.11191,1.62211,1.12233,0.36636,0.16667,0.1463,0.08742,1.56644,5.89598,1.49173,0.0013268,0.0013268,0.0013268
36,279.565,1.02056,1.31945,1.03375,0.03016,0.16667,0.01367,0.0092,1.59254,9.04175,1.54879,0.001307,0.001307,0.001307
