epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7073,1.93626,3.13832,1.61459,0.41874,0.26334,0.18148,0.1032,2.17763,3.60023,1.72651,4e-05,4e-05,4e-05
2,32.7515,2.33221,3.48554,1.80867,0.27058,0.27273,0.18422,0.11987,2.08298,3.45188,1.6473,9.67e-05,9.67e-05,9.67e-05
3,39.8117,1.63219,2.14552,1.39677,0.33158,0.18182,0.16185,0.12445,2.01583,3.82329,1.59987,0.00014944,0.00014944,0.00014944
4,47.4725,1.86935,2.73363,1.47337,0.33182,0.18182,0.14962,0.1074,1.99452,4.9021,1.57652,0.00019822,0.00019822,0.00019822
5,57.3836,1.64422,2.2569,1.41539,0.78947,0.18182,0.21269,0.14204,2.06411,5.9439,1.65777,0.00024304,0.00024304,0.00024304
6,65.1453,1.52546,2.06768,1.30846,0.19006,0.18182,0.12729,0.09323,2.06826,5.63152,1.6862,0.0002839,0.0002839,0.0002839
7,74.1805,1.45501,1.95293,1.24033,0.53809,0.27273,0.26981,0.15109,2.07284,4.88667,1.70868,0.0003208,0.0003208,0.0003208
8,81.7339,1.60745,1.91835,1.27498,0.61423,0.27273,0.26978,0.18093,2.05693,4.32863,1.688,0.00035374,0.00035374,0.00035374
9,90.4695,1.58331,1.69037,1.31864,0.68375,0.27273,0.26678,0.17911,1.95451,3.76358,1.69129,0.00038272,0.00038272,0.00038272
10,99.6222,1.48501,1.66584,1.27315,0.68159,0.27273,0.28315,0.18601,1.91393,3.45365,1.71831,0.00040774,0.00040774,0.00040774
11,109.19,1.5427,1.89609,1.27387,0.58073,0.27273,0.27749,0.19041,1.90064,2.81164,1.65433,0.0004288,0.0004288,0.0004288
12,118.107,1.37027,1.70512,1.14698,0.46236,0.27273,0.2582,0.17492,1.89319,2.69106,1.64979,0.0004459,0.0004459,0.0004459
13,125.672,1.39335,1.69854,1.1266,0.94055,0.18182,0.23945,0.16578,1.95702,2.75189,1.64835,0.00045904,0.00045904,0.00045904
14,132.495,1.32676,1.41932,1.07857,0.71842,0.27273,0.33078,0.19997,2.04876,2.78189,1.70274,0.00046822,0.00046822,0.00046822
15,141.922,1.38566,1.50301,1.16805,0.73266,0.36364,0.34493,0.18074,2.08911,2.8279,1.70843,0.00047344,0.00047344,0.00047344
16,149.64,1.37137,1.42494,1.17842,0.93893,0.27273,0.3362,0.17293,2.09545,2.90208,1.74352,0.0004747,0.0004747,0.0004747
17,158.784,1.24841,1.33107,1.10444,0.63968,0.36364,0.3415,0.18715,2.06569,2.93645,1.71759,0.000472,0.000472,0.000472
18,166.358,1.33273,1.47412,1.09458,0.58101,0.36364,0.3346,0.19703,1.99961,2.93408,1.71093,0.00046534,0.00046534,0.00046534
19,175.265,1.18398,1.34258,1.08139,0.39467,0.27273,0.22303,0.15854,1.96641,2.99062,1.69104,0.00045472,0.00045472,0.00045472
20,182.331,1.18129,1.27705,1.02959,0.74055,0.26242,0.30392,0.15645,1.9873,3.00999,1.68452,0.00044014,0.00044014,0.00044014
21,190.105,1.2985,1.66238,1.12664,1,0.26912,0.32223,0.17453,1.99984,3.08056,1.64175,0.0004216,0.0004216,0.0004216
22,195.661,1.21538,1.49054,1.08291,0.97194,0.27273,0.33979,0.17618,1.99959,3.00298,1.61927,0.0003991,0.0003991,0.0003991
23,203.361,1.04888,1.30409,1.03712,0.79692,0.36364,0.36611,0.15694,2.00516,3.02849,1.63056,0.00037264,0.00037264,0.00037264
24,209.089,1.06554,1.22793,0.98919,0.79016,0.36364,0.36654,0.15702,2.02191,3.15005,1.63248,0.00034222,0.00034222,0.00034222
25,216.332,1.1108,1.21021,1.05271,0.66232,0.35771,0.32824,0.15167,2.00518,3.29659,1.62072,0.00030784,0.00030784,0.00030784
26,222.349,0.96402,1.19609,0.98945,0.53727,0.36364,0.32266,0.13242,1.98691,3.32184,1.6116,0.0002695,0.0002695,0.0002695
27,228.4,0.99331,1.23237,1.021,0.59023,0.39554,0.34322,0.12668,1.95687,3.31795,1.60596,0.0002272,0.0002272,0.0002272
28,236.952,0.95616,1.10824,0.91702,0.79821,0.36039,0.37601,0.16774,1.93247,3.19958,1.60313,0.00018094,0.00018094,0.00018094
29,242.82,0.94065,1.12994,0.99246,0.79821,0.36039,0.37601,0.16774,1.93247,3.19958,1.60313,0.00013072,0.00013072,0.00013072
30,248.731,0.89467,1.16059,0.97839,0.80567,0.37911,0.39574,0.17157,1.91575,3.13206,1.6082,7.654e-05,7.654e-05,7.654e-05
