epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.552,1.96071,3.04728,1.42815,0.7106,0.32141,0.36642,0.19434,1.63491,2.28945,1.18424,0.00066087,0.00066087,0.00066087
2,713.108,1.57309,1.82385,1.18673,0.69726,0.45824,0.47769,0.22622,1.89378,2.16055,1.34053,0.00128373,0.00128373,0.00128373
3,1093.08,1.51507,1.54789,1.15845,0.76437,0.50953,0.56221,0.33513,1.42732,1.51851,1.17239,0.00186259,0.00186259,0.00186259
4,1409.09,1.46462,1.44582,1.16037,0.85957,0.63874,0.7285,0.45054,1.26939,1.37936,1.11644,0.001802,0.001802,0.001802
5,3526.82,1.42899,1.29695,1.1378,0.86281,0.62304,0.7279,0.41681,1.42244,1.36192,1.15575,0.001736,0.001736,0.001736
6,3785.62,1.40444,1.23796,1.13816,0.88946,0.75393,0.82054,0.51449,1.2755,1.14919,1.08099,0.00167,0.00167,0.00167
7,8285.07,1.35662,1.14792,1.11129,0.90498,0.69634,0.79435,0.50348,1.26882,1.24784,1.10074,0.001604,0.001604,0.001604
8,9371.04,1.35665,1.07631,1.12481,0.86162,0.58639,0.64694,0.41061,1.31431,1.34409,1.12874,0.001538,0.001538,0.001538
9,9638.7,1.34539,1.06981,1.10285,0.8668,0.73822,0.83635,0.51577,1.30401,1.1173,1.10735,0.001472,0.001472,0.001472
10,9924.75,1.2904,1.01727,1.08045,0.90741,0.69634,0.80658,0.515,1.28192,1.23655,1.0964,0.001406,0.001406,0.001406
11,10201.4,1.25894,0.95402,1.07331,0.91618,0.69634,0.81223,0.49455,1.30062,1.14995,1.09995,0.00134,0.00134,0.00134
12,10468.6,1.26154,0.94748,1.07311,0.913,0.75393,0.83986,0.55824,1.24851,1.02481,1.09166,0.001274,0.001274,0.001274
13,10779.6,1.26133,0.93184,1.06195,0.88154,0.77926,0.81414,0.50554,1.28705,1.08019,1.1029,0.001208,0.001208,0.001208
14,11091.1,1.22086,0.87541,1.05608,0.86956,0.67016,0.72863,0.4825,1.19863,1.27905,1.06979,0.001142,0.001142,0.001142
15,11407.4,1.22434,0.83878,1.06191,0.85785,0.80105,0.85944,0.53951,1.24793,0.98632,1.09156,0.001076,0.001076,0.001076
16,11701.8,1.21522,0.83355,1.04901,0.87539,0.75916,0.84186,0.56029,1.22324,0.97409,1.07946,0.00101,0.00101,0.00101
17,12004.7,1.19183,0.80425,1.03274,0.90568,0.75406,0.87803,0.53809,1.30006,0.99057,1.09135,0.000944,0.000944,0.000944
18,12326.4,1.1622,0.78526,1.02772,0.88269,0.79058,0.87905,0.56196,1.21776,0.88453,1.09229,0.000878,0.000878,0.000878
19,12646.1,1.1471,0.76173,1.01881,0.92719,0.77487,0.86676,0.57652,1.16605,0.88437,1.05005,0.000812,0.000812,0.000812
20,12955.2,1.16955,0.75208,1.02615,0.95824,0.78534,0.87646,0.56849,1.23696,0.8807,1.08306,0.000746,0.000746,0.000746
21,13286.9,1.11409,0.71822,1.03468,0.91549,0.81675,0.88891,0.57405,1.2345,0.87037,1.06784,0.00068,0.00068,0.00068
22,13565.8,1.07717,0.66779,1.02548,0.90615,0.79581,0.87042,0.57526,1.15652,0.90697,1.0526,0.000614,0.000614,0.000614
23,13902.9,1.07092,0.65986,1.01984,0.9404,0.7644,0.87515,0.58187,1.17084,0.9079,1.04525,0.000548,0.000548,0.000548
24,14240.2,1.05565,0.62674,1.01775,0.94754,0.7801,0.89444,0.60704,1.16364,0.86185,1.03344,0.000482,0.000482,0.000482
25,14553.9,1.03655,0.60945,1.00831,0.93978,0.817,0.8943,0.60605,1.19056,0.85998,1.05326,0.000416,0.000416,0.000416
26,14767.1,1.02334,0.58231,1.00609,0.95666,0.809,0.9028,0.6024,1.20641,0.84252,1.05548,0.00035,0.00035,0.00035
27,14999.1,1.01349,0.57128,0.99098,0.96047,0.7801,0.88711,0.57967,1.27941,0.91657,1.0874,0.000284,0.000284,0.000284
28,15340.5,0.99108,0.554,0.98761,0.90998,0.8377,0.88937,0.57768,1.23392,0.85415,1.055,0.000218,0.000218,0.000218
29,15570.5,0.98437,0.54199,0.98344,0.91368,0.83124,0.89885,0.5933,1.2102,0.82575,1.05579,0.000152,0.000152,0.000152
30,15793.1,0.98346,0.53895,0.97989,0.91482,0.84341,0.90709,0.59893,1.19001,0.77488,1.04631,8.6e-05,8.6e-05,8.6e-05
